Sun 19 Jun 2022 02:16:07 PM CEST
r30n2.lisa.surfsara.nl
uid=55639(jharris) gid=55199(jharris) groups=55199(jharris),46457(lisa_uva_gpu),50488(ssh_forwarding)
/home/jharris/Desktop/approx_attention
/home/jharris/Desktop/approx_attention/venvs/GPU_venv/bin/python

Check if packages installed correctly
Torch: 1.11.0+cu113
PyG: 2.0.4

==================================================
Using backend: pytorch

===== PUBMED =====

Namespace(DATASET='pubmed', EPOCHS=300, EVAL_EVERY=20, RUN_SEEDS=[0, 4, 8, 42, 64, 128, 256, 512, 1024, 2048], BATCH_SIZE=1024, LEARNING_RATE=0.01, WEIGHT_DECAY=0.001, NODE_DROPOUT=0.6, HIDDEN_UNITS=8, LAYERS=2, HEADS_IN=8, HEADS_OUT=8, NEIGHBORS=150)

RUN #0: seed0
Epoch 20:, Train 0.8480, Val 0.8780, Test 0.8430
Epoch 40:, Train 0.8420, Val 0.8700, Test 0.8360
Epoch 60:, Train 0.8503, Val 0.8780, Test 0.8460
Epoch 80:, Train 0.8394, Val 0.8560, Test 0.8340
Epoch 100:, Train 0.8465, Val 0.8760, Test 0.8410
Epoch 120:, Train 0.8419, Val 0.8720, Test 0.8410
Epoch 140:, Train 0.8494, Val 0.8800, Test 0.8430
Epoch 160:, Train 0.8448, Val 0.8680, Test 0.8400
Epoch 180:, Train 0.8509, Val 0.8820, Test 0.8470
Epoch 200:, Train 0.8468, Val 0.8780, Test 0.8430
Epoch 220:, Train 0.8498, Val 0.8860, Test 0.8430
Epoch 240:, Train 0.8389, Val 0.8660, Test 0.8390
Epoch 260:, Train 0.8490, Val 0.8800, Test 0.8410
Epoch 280:, Train 0.8442, Val 0.8700, Test 0.8390
Epoch 300:, Train 0.8425, Val 0.8740, Test 0.8420
BEST: Epoch 220, Train 0.8498, Val 0.8860, Test 0.8430

RUN #1: seed4
Epoch 20:, Train 0.8423, Val 0.8700, Test 0.8370
Epoch 40:, Train 0.8431, Val 0.8640, Test 0.8390
Epoch 60:, Train 0.8428, Val 0.8740, Test 0.8390
Epoch 80:, Train 0.8472, Val 0.8800, Test 0.8420
Epoch 100:, Train 0.8488, Val 0.8760, Test 0.8430
Epoch 120:, Train 0.8512, Val 0.8880, Test 0.8450
Epoch 140:, Train 0.8397, Val 0.8660, Test 0.8390
Epoch 160:, Train 0.8481, Val 0.8800, Test 0.8420
Epoch 180:, Train 0.8486, Val 0.8800, Test 0.8400
Epoch 200:, Train 0.8447, Val 0.8760, Test 0.8410
Epoch 220:, Train 0.8509, Val 0.8800, Test 0.8430
Epoch 240:, Train 0.8481, Val 0.8760, Test 0.8400
Epoch 260:, Train 0.8473, Val 0.8780, Test 0.8400
Epoch 280:, Train 0.8498, Val 0.8820, Test 0.8400
Epoch 300:, Train 0.8468, Val 0.8760, Test 0.8440
BEST: Epoch 120, Train 0.8512, Val 0.8880, Test 0.8450

RUN #2: seed8
Epoch 20:, Train 0.8461, Val 0.8700, Test 0.8430
Epoch 40:, Train 0.8508, Val 0.8800, Test 0.8390
Epoch 60:, Train 0.8493, Val 0.8800, Test 0.8430
Epoch 80:, Train 0.8462, Val 0.8740, Test 0.8440
Epoch 100:, Train 0.8516, Val 0.8820, Test 0.8500
Epoch 120:, Train 0.8464, Val 0.8820, Test 0.8400
