Fri 24 Jun 2022 10:48:07 AM CEST
r32n1.lisa.surfsara.nl
uid=55639(jharris) gid=55199(jharris) groups=55199(jharris),46457(lisa_uva_gpu),50488(ssh_forwarding)
/home/jharris/Desktop/approx_attention
/home/jharris/Desktop/approx_attention/venvs/GPU_venv/bin/python

Check if packages installed correctly
Torch: 1.11.0+cu113
PyG: 2.0.4

**************************************************
================= GAT ===========================
**************************************************
Using backend: pytorch

===== PUBMED =====

Namespace(DATASET='pubmed', EPOCHS=300, EVAL_EVERY=10, RUN_SEEDS=[0, 4, 8, 42, 64, 128, 256, 512, 1024, 2048], BATCH_SIZE=1024, LEARNING_RATE=0.01, WEIGHT_DECAY=0.001, NODE_DROPOUT=0.6, HIDDEN_UNITS=8, LAYERS=2, HEADS_IN=8, HEADS_OUT=8, NEIGHBORS=150)

RUN #0: seed0
Epoch 10:, Train 0.8427, Val 0.8700, Test 0.8400
Epoch 20:, Train 0.8444, Val 0.8720, Test 0.8420
Epoch 30:, Train 0.8450, Val 0.8740, Test 0.8380
Epoch 40:, Train 0.8461, Val 0.8740, Test 0.8400
Epoch 50:, Train 0.8436, Val 0.8740, Test 0.8420
Epoch 60:, Train 0.8442, Val 0.8780, Test 0.8390
Epoch 70:, Train 0.8423, Val 0.8700, Test 0.8350
Epoch 80:, Train 0.8481, Val 0.8820, Test 0.8390
Epoch 90:, Train 0.8453, Val 0.8700, Test 0.8400
Epoch 100:, Train 0.8485, Val 0.8800, Test 0.8450
Epoch 110:, Train 0.8429, Val 0.8740, Test 0.8420
Epoch 120:, Train 0.8484, Val 0.8780, Test 0.8390
Epoch 130:, Train 0.8483, Val 0.8800, Test 0.8380
Epoch 140:, Train 0.8460, Val 0.8760, Test 0.8380
Epoch 150:, Train 0.8441, Val 0.8700, Test 0.8390
Epoch 160:, Train 0.8488, Val 0.8840, Test 0.8440
Epoch 170:, Train 0.8427, Val 0.8700, Test 0.8360
Epoch 180:, Train 0.8450, Val 0.8720, Test 0.8430
Epoch 190:, Train 0.8473, Val 0.8740, Test 0.8410
Epoch 200:, Train 0.8496, Val 0.8860, Test 0.8440
Epoch 210:, Train 0.8503, Val 0.8860, Test 0.8390
Epoch 220:, Train 0.8417, Val 0.8700, Test 0.8370
Epoch 230:, Train 0.8452, Val 0.8760, Test 0.8400
Epoch 240:, Train 0.8459, Val 0.8740, Test 0.8430
Epoch 250:, Train 0.8422, Val 0.8760, Test 0.8350
Epoch 260:, Train 0.8494, Val 0.8820, Test 0.8440
Epoch 270:, Train 0.8459, Val 0.8800, Test 0.8420
Epoch 280:, Train 0.8381, Val 0.8540, Test 0.8390
Epoch 290:, Train 0.8485, Val 0.8800, Test 0.8470
Epoch 300:, Train 0.8446, Val 0.8700, Test 0.8440
BEST: Epoch 200, Train 0.8496, Val 0.8860, Test 0.8440

RUN #1: seed4
